Mês 1º Sintoma(s);2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Jan;3483;1415;1107;1630;2051;717;513;617;489;454;392;391;305;215;199;196;254
Fev;3240;1139;1055;1640;1436;690;512;542;499;443;342;354;269;177;174;240;218
Mar;3469;1178;1674;2088;1436;956;551;586;548;450;375;386;324;171;177;273;255
Abr;2871;1087;1319;2099;1431;696;517;537;469;448;317;356;271;111;182;219;224
Mai;3625;1045;1462;2852;1386;697;501;512;582;453;381;348;264;102;197;261;340
Jun;2810;1087;1776;2301;1171;816;581;533;577;482;345;348;268;144;196;208;261
Jul;2928;1008;1813;2714;915;730;568;611;570;454;408;323;317;154;213;207;263
Ago;2725;1035;1756;2485;1225;770;697;577;632;481;402;322;276;154;202;194;311
Set;2420;922;2004;2337;982;678;685;474;477;389;332;331;315;156;182;208;214
Out;1977;956;1638;2310;933;649;570;483;429;402;382;368;278;151;195;195;184
Nov;1418;889;1461;2491;956;465;480;393;428;270;327;293;228;142;191;183;104
Dez;1150;926;1730;1687;627;369;476;405;367;251;323;264;204;178;190;199;78
 ;;;;;;;;;;;;;;;;;
